label,en,chs
LBL_INTENHTUBEGEO,Internally Enhanced Tube Geometry,内部增强型管子的几何结构
LBL_INTERM,Intermediate,中级
LBL_INTERNALSDATA,Internals Data,内部数据
LBL_INTEXT,Internal or external,内部或外部
LBL_INTFINNUM,Number of fins,翅片的数量
LBL_INTFINHEIGHT,Fin height,翅片高度
LBL_INTFINTHICK,Fin thickness,翅片厚度
LBL_INTFINID,Tube ID,管子内径
LBL_INTFINHELIXANGLE,Fin helix angle,翅片螺旋角
LBL_INTFINAPEXANGLE,Fin apex angle,翅片顶角
LBL_INTINS,Internal insulation,内部绝缘
LBL_INTTUBESUPP,Intermediate tube supports,中间管支架
LBL_INTWALL,Internal wall,内墙
LBL_INVALPRESSDROP,Inlet valve pressure drop,进气阀压降
LBL_JETANGLE,Jet half angle,射流半角
LBL_JFACT,j-Factor,j-Factor
LBL_JFACTORAB,j-Factor a and b,j-因素a和b
LBL_JRFAIRFLOWMAP,J.R. Fair flow map,J.R. Fair流向图
LBL_K,K,K
LBL_KETTID,Kettle ID,水壶ID
LBL_KETTLEID,Kettle ID,水壶ID
LBL_KETTLERECIRRATIO,Kettle Recirculation Ratio (Internal/Feed),釜内再循环比率（内部/进料）。
LBL_KVAL,K-Value,K值
LBL_KVALS,K-Values,K值
LBL_KVALUE,K-Value,K值
LBL_LADWALKWEI,Ladder/walkway weight,梯子/走道重量
LBL_LARMILLDEPPROPS,Larson-Miller dependent properties,拉森-米勒的从属属性
LBL_LARMILLPARAM,Larson-Miller parameter,Larson-Miller参数
LBL_LASTGROUP,Last group,最后一组
LBL_LATHEAT,Latent heat,潜热
LBL_LAYERNUM,Layer #,层数 #
LBL_LAYOUT,Layout,布局
LBL_LAYOUTANG,Layout angle,布局角度
LBL_LAYOUTSQUARE,Square,方形
LBL_LAYOUTTRIANGULAR,Triangular,三角形
LBL_LD,L/D,L/D
LBL_LEAKAGE,Leakage,渗漏
LBL_LEAVING,Leaving,离去
LBL_LEFT,Left,左边
LBL_LEFTSIDE,Left side,左侧
LBL_LENARC,Length / Arc,长度/弧度
LBL_LENFROMINLET,Length from inlet,从进水口开始的长度
LBL_LENFROMPIPINLET,Length from piping inlet,从管道进口的长度
LBL_LENGTH,Length,长度
LBL_LENGTHNATFREQ,Length for natural frequency,自然频率的长度
LBL_LENGTHTEMAMAXSPAN,Length/TEMA maximum span,长度/TEMA最大跨度
LBL_LENGTHTOTANG,Length to tangent,长度与切线的关系
LBL_LENGTHTUBEIN,Length from tube inlet,从管子入口的长度
LBL_LEVEL,Level,级别
LBL_LHV,LHV,LHV
LBL_LIFEEXPEXCDS,The life expectancy exceeds,预期寿命超过
LBL_LIFEUSEDPERIOD,"Life used in period, fraction",期内使用的寿命，分量
LBL_LIFTCOEF,Lift coefficient,提升系数
LBL_LIMDESMETTEMP,Limiting design metal temperature,极限的设计金属温度
LBL_LIMMETTEX,Limiting metal temperature exceeded?,超过了限制性金属温度？
LBL_LININGINTEXT,Lining: Internal / External,衬里。 内部/外部
LBL_LININGMAT,Lining material,衬里材料
LBL_LININGTHK,Lining thickness,衬里厚度
LBL_LIQ,Liquid,液体
LBL_LIQFLOW,Liquid flow,液体流动
LBL_LIQFUELCHAR,Liquid fuel characteristics,液体燃料特性
LBL_LIQGRAV,Liquid gravity (sp. gr @ 60f),液体重力（sp. gr.@60f)
LBL_LIQMOLEFRAC,Liquid Mole Fractions,液体摩尔分数
LBL_LIQOUT,Liq. Out,Liq. 淘汰
LBL_LIQOUTLET,Liq. Outlet,锂电池 出口
LBL_LIQOUTLETNOZZLE,liquid outlet nozzle,液体出口喷嘴
LBL_LIQPRN,Liquid Prandtl,液体普朗特
LBL_LIQPROP,Liquid Properties,液体特性
LBL_LIQREY,Liquid Reynolds,液体雷诺兹
LBL_LIQSTATHEADREQSPE,"Liquid static head, Required/Specified",液体静压头，需要/指定
LBL_LIQTYPE,Liquid type,液体类型
LBL_LMCCONST,L-M C constant,L-M C常数
LBL_LMCONST,L-M constant A per Table 2,根据表2，L-M常数A
LBL_LMTD,LMTD,LMTD
LBL_LOC,Location,地点
LBL_LOCENDTOPBOT,"Location (Ends, Top, Bottom)",位置（末端、顶部、底部）
LBL_LOCFBHB,"Location (f.b. = fire box, h. b. = header box)",位置（f.b.=火箱，h.b.=头箱）。
LBL_LOCFRONTBACK,Location (front/back),位置（前面/后面）
LBL_LOCHTCCOLD,Local HTC - cold,本地HTC - 寒冷
LBL_LOCHTCHOT,Local HTC - hot,本地HTC--热门
LBL_LOCINTEXT,Location (Internal/External),地点（内部/外部）
LBL_LOCLEFTRIGHT,Location (left/right),位置(左/右)
LBL_LOCONBOTH,Location (on or both ends),地点（在或两端）
LBL_LOCOVERALLU,Local overall U,地方总体U
LBL_LOCREY,Local Reynolds,当地的Reynolds
LBL_LOCRFFLSW,Location (Roof / Floor/ Sidewall),位置（屋顶/地板/侧墙）
LBL_LOCTOPBOTT,Location (top/bottom),位置（顶部/底部）
LBL_LOGDEC,Log decrement,对数递减
LBL_LOKBAFFLE,Lok,洛克
LBL_LONGBAFFLEN,Long. baffle length,长。挡板长度
LBL_LONGBAFFSEALLEAKANA,Longitudinal Baffle Seal Leakage Analysis,纵向挡板密封泄漏分析
LBL_LONGFLOWFJCURVE,Shellside Longitudinal Flow FJ-Curve,壳侧纵向流动FJ-曲线
LBL_LONGITUDINAL,Longitudinal,纵向的
LBL_LONGITUDINALPITCH,Longitudinal pitch,纵向间距
LBL_LONGFLOW,Longitudinal flow,纵向流动
LBL_LONGPITCH,Long pitch,长距离投球
LBL_LONGPOSSHELLINNOZ,Longitudinal position on shell of inlet nozzle,进气口壳体上的纵向位置
LBL_LOUVERS,Louvers,舷窗
LBL_LOUVERSPRESENT,Louvers present,存在百叶窗
LBL_LOWERCRITTEMP,Lower critical temperature,较低的临界温度
LBL_LS,LS,医学博士
LBL_MACHNUM,Mach number,马赫数
LBL_MAINFINPAD1,Main fin - pad 1,主鳍 - 垫1
LBL_MAINFINPAD2,Main fin - pad 2,主鳍-垫2
LBL_MAINFINPAD3,Main fin - pad 3,主鳍 - 垫3
LBL_MAINLEN,Main length,主要长度
LBL_MAINPIPE,Main Pipe,主要管道
LBL_MAINPIPEID,Main inside diameter,主体内径
LBL_MALDISPARA,Maldistribution parameter,错误分布参数
LBL_MALDISREPORT,Maldistribution Report,破坏性分配报告
LBL_MALDISTRIBUTION,Maldistribution,诅咒分布
LBL_MALDISTRIBUTIONDATA,Maldistribution Data,错误分布数据
LBL_MANLOC,Manifold location (inside or outside header box),歧管的位置（集线盒内或外）。
LBL_MANTUBECON,"Manifold to tube connection (welded, extruded, etc)",歧管与管子的连接（焊接的、挤压的，等等）
LBL_MANUF,Manufacturer,制造商
LBL_MANUFACTUREHOWDEN,Howden,豪顿
LBL_MANUFACTUREHUDSON,Hudson,赫德森
LBL_MANUFACTUREMOORE,Moore,摩尔
LBL_MANUFACTURECOFIMCO,Cofimco,科菲姆科
LBL_MANUFACTUREUNKNOWN,Unknown Manufacturer,未知的制造商
LBL_MASS,Mass,群体
LBL_MASSFLOWXYGS,Mass Flow Across Zone Boundaries for XY Planes %d to %d in Gas Space %d,XY平面%d至%d的气体空间%d的跨区域边界的质量流量
LBL_MASSFLOWXZONE,Mass Flow Across Zone Boundaries,跨越区界的质量流
LBL_MASSFRACVAP,Mass fraction vapor,蒸气的质量分数
LBL_MASSVEL,Mass vel,质量速度
LBL_MASSVEL2,Mass velocity,质量速度
LBL_MAT,Material,材料
LBL_MATCODE,Material code,材料代码
LBL_MAX,Maximum,最大
LBL_MAX2,Max,最大
LBL_MAXALLCALCINFILMTEMP,Max. allow. / calc. inside film temperature,最大允许值。 /计算膜内温度
LBL_MAXCLNTUBEMETTEMP,Maximum (clean) tube metal temperature,最高（清洁）管子金属温度
LBL_MAXCONTUBETEMP,Maximum continuous tube temperature,最大连续管温
LBL_MAXFILMCRITHEATFLUX,Breakdown heat flux,分解热通量
LBL_MAXFINT,Max Fin T,最大翅片T
LBL_MAXFINTEMP,Max fin temperature,最大翅片温度
LBL_MAXFLUX,Maximum flux,最大通量
LBL_MAXFLUXOD,Maximum local flux (OD),最大局部通量（OD）
LBL_MAXFLUXRATE,Maximum flux rate,最大通量率
LBL_MAXLINTUBEEND,Maximum linear temperature at end,结束时的最大线性温度
LBL_MAXMASSVEL,Maximum mass velocity,最大质量速度
LBL_MAXMETTEMP,Max metal temperature,最高金属温度
LBL_MAXMOM,Max momentum,最大动量
LBL_MAXOPERPRES,Max operating pressure,最大工作压力
LBL_MAXOVERDES,Maximum overdesign,最大的过度设计
LBL_MAXRADFLUXDENS,Max. rad. sect. flux density,最大径向截面磁通密度
LBL_MAXSKINTEMP,Max skin temperature,最大的皮肤温度
LBL_MAXTEMP,Maximum temperatures,最高温度
LBL_MAXTEMPFUTHIST,Max temperature future history,最高温度的未来历史
LBL_MAXTIPTEMPCALC,"Maximum tip temperature, (calculated)",最大的尖端温度，（计算）。
LBL_MAXTUBEMETTEMP,Max tube metal temp.,最大管子金属温度。
LBL_MAXTUBETEMP,Maximum tube temperature,最大的管子温度
LBL_MAXVEL,Maximum velocity,最大速度
LBL_MAXVORTEXSHED,Max Vortex Shedding,最大漩涡脱落
LBL_MAXWALLT,Max Wall T,最大墙体T
LBL_MEAN,Mean,平均值
LBL_MEANHOLELEN,Mean hole length,平均孔长
LBL_MEANMETTEMP,Mean Metal Temperatures,平均金属温度
LBL_MEANSHELLTEMP,Mean shell temperature,壳的平均温度
LBL_MEANTUBEMETTEMPPERPASS,"Mean tube metal temperature in each tubepass,",每个管段的平均管子金属温度。
LBL_MECHDESCOND,Mechanical design conditions,机械设计条件
LBL_MESSAGES,Messages,留言
LBL_METAL,Metal,金属
LBL_METALCOND,Metal thermal conductivity,金属导热性能
LBL_METALTEMP,Metal temperature,金属温度
LBL_METALTEMPS,Metal temperatures,金属温度
LBL_METALTYPE,Metal type,金属类型
LBL_METALWT,Metal weight,金属重量
LBL_METHOD,Method,方法
LBL_MIDFFACT,Midpoint f-factor,中点f系数
LBL_MIDJFACT,Midpoint j-factor,中点j因子
LBL_MIDPOINT,Midpoint,中点
LBL_MIDVALUE,Middle Value,中间值
LBL_MIDVEL,Midpoint velocity,中点速度
LBL_MIN,Minimum,最低限度
LBL_MIN2,Min,闵行区
LBL_MINDISBRNCENT,Minimum distance burner centerline,燃烧器中心线的最小距离
LBL_MINFLRELV,Minimum floor elevation,最低楼面标高
LBL_MINMAXFINTIPT,Min/Max fin tip temperature,最小/最大翅尖温度
LBL_MINMAXWALLT,Min/Max wall temperature,最小/最大壁温
LBL_MINNORMAXAIRTEMP,Minimum / normal / maximum ambient air temp.,最低/正常/最高环境空气温度。
LBL_MINOVERDES,Minimum overdesign,最低限度的过度设计
LBL_MINPRACTTHK,Minimum practical thickness,最小实用厚度
LBL_MINRUPSTRESS,Min rupture stress,最小断裂应力
LBL_MINRUPTHK,Minimum rupture thickness,最小破裂厚度
LBL_MINSERVTEMP,Minimum service temperature,最低服务温度
LBL_MINSNDMETTHK,Minimum sound metal thickness,最小健全金属厚度
LBL_MINSTRESSTHK,Minimum stress thickness,最小应力厚度
LBL_MINSUGCLR,Minimum suggested clearance,建议的最小间隙
LBL_MINTHK,Minimum thickness,最小厚度
LBL_MINTHKCORRALLOW,Minimum thickness w/ corrosion allowance,最小厚度，含腐蚀余量
LBL_MINTHKNOCORRALLOW,Minimum thickness w/o corrosion allowance,最小厚度，不含防腐剂
LBL_MINWALLREQ,Minimum wall required,所需的最小墙体
LBL_MISC,Miscellaneous,杂项
LBL_MISTFLOWRATIO,Mist flow ratio,喷雾流量比
LBL_MIXF,Mix F,混合F
LBL_MODE,Mode,模式
LBL_MODELNO,Model no.,模型编号。
LBL_MODELSZ,Model / size,模型/尺寸
LBL_MODEOPER,Mode of operation,操作模式
LBL_MOLAR,Molar,摩尔
LBL_MOLEFRAC,Mole Frac.,Mole Frac。
LBL_MOLEFRACINERT,Mole fraction inert,惰性物质摩尔分率
LBL_MOLPCT,Mole %,摩尔百分比
LBL_MOLWEIGHT,Molecular weight,分子量
LBL_MOMENTUM,MOMENTUM,势头（MOMENTUM
LBL_MOMLOSS,Momentum loss,动量损失
LBL_MOMPARAMGS,Momentum Parameters for Gas Space Type,气体空间类型的动量参数
LBL_MOMPRESSDROP,Momentum pressure drop,动量压降
LBL_MOMENTOFINERTIA,Area moment of inertia,面积惯性矩
LBL_MONITOR,Monitor,监视器
LBL_MOTPOWFANDES,Motor power per fan-design air temperature,每个风扇设计空气温度的电机功率
LBL_MOTPOWFANDES2,Motor power/fan-design air temperature,电机功率/风扇-设计空气温度
LBL_MOTPOWFANMIN,Motor power per fan-minimum air temperature,每个风扇的电机功率-最低空气温度
LBL_MOTPOWFANMIN2,Motor power/fan-min air temperature,电机功率/风扇最小空气温度
LBL_MTD,MTD,MTD
LBL_MULTIPLIER,Multiplier,乘法器
LBL_MULTPASSFLOW,Multipass flow,多通道流动
LBL_MULTSNGLEAF,Multiple / single leaf,多叶/单叶
LBL_N,N,N
LBL_NAPI530FIG1,N (per API 530 Figure 1),N (根据API 530图1)
LBL_NAPI530FIG2,N (per API 530 Figure 2),N (根据API 530图2)
LBL_NATCONVH,Natural convective h,自然对流h
LBL_NATDRAFTDATA,Natural Draft Data,自然界草案数据
LBL_NET,Net,净值
LBL_NETHFLOW,Net enthalpy flow,净热流
LBL_NETHOUT,Net enthalpy out,净热能输出
LBL_NO,No,无
LBL_NO2,NO,无
LBL_NOBAY,No/bay,没有/海湾
LBL_NODE,Node,节点
LBL_NOHOTCOLDCHANN,No. of hot & cold channels,冷热通道的数量
LBL_NOISELIM,Noise limitations,噪声限制
LBL_NOISEPWL,Noise PWL,噪声 PWL
LBL_NOISESPEC,Noise specification,噪声规格
LBL_NOMCHANNVEL,Nominal channel velocity,名义通道速度
LBL_NOMDP,Nominal pressure drop,公称压降
LBL_NOMESS,No %s.,没有%s。
LBL_NOMRATING,Nominal rating,名义等级
LBL_NOMRATSCH,Nominal rating or schedule,公称等级或时间表
LBL_NOMVELXFLOWWIN,"Nom vel, X-flow/window",名义流速，X-流/窗口
LBL_NONCOND,Noncondensables,不凝结物
LBL_NONE,None,无
LBL_NOPASSHOTCOLD,"No. of passes, hot/cold",通过次数，热/冷
LBL_NORINGS,No. rings,编号环
LBL_NORMAL,Normal,正常
LBL_NOSLIPDEN,No slip mixed density,无滑移混合密度
LBL_NOSLIPVEL,No slip velocity,无滑移速度
LBL_NOSTUDRINGS,No. studs/ring,螺柱/环的数量
LBL_NOTEDUTYFLOWMULT1,Note: Reported duty and flow rates include a user-specified,注：报告的负载和流量包括用户指定的
LBL_NOTEDUTYFLOWMULT2,multiplier of ,的乘数
LBL_NOTES,Notes:,注意事项。
LBL_NOTUBEFLUXMON,No Tube Flux Monitor,无管通量监测器
LBL_NOX,NOx,氮氧化物
LBL_NOZZLE,Nozzle,喷嘴
LBL_NOZZLEDATA,Nozzle Data,喷嘴数据
LBL_NOZZFINNING,Nozzles/Finning,喷嘴/纺纱
LBL_NOZZLEID,Nozzle inside diameter,喷嘴内径
LBL_NOZZLELEN,Nozzle length,喷嘴长度
LBL_NOZZLES,Nozzles,喷嘴
LBL_NOZZPIPE,Nozzle Pipe,喷嘴管
LBL_NOZZRVSQ,Nozzle R-V-SQ,喷头R-V-SQ
LBL_NTIW,NTIW,缺口区不布管
LBL_NTIWSEG,NTIW-Segmental,弓形，缺口区不布管
LBL_NTIWSEG2,NTIW-Seg.,弓形，缺口区不布管
LBL_NUCBOILH,Nucleate boiling h,成核的沸点h
LBL_NUCLANDCONV,Nucleate and convective,成核和对流
LBL_NUCLEATE,Nucleate,核子
LBL_NUM,Number,数量
LBL_NUM2,No.,编号
LBL_NUMBRNRS,Number of burners,燃烧器的数量
LBL_NUMCHANNTOTPERPASS,"Number of channels, total/per pass",通道数，总计/每通
LBL_NUMCHANNTYPE,Number of channel types,通道类型的数量
LBL_NUMEACHPOS,Number at each position,每个位置上的数量
LBL_NUMFANPERBAY,Number of fans per bay,每个舱位的风扇数量
LBL_NUMFIREDBACK,Number fired from back end,从后端发射的数量
LBL_NUMFIREDFLOOR,Number fired from floor,从地面发射的数量
LBL_NUMFIREDFRONT,Number fired from front end,从前端发射的数量
LBL_NUMFLOWPASS,Number of flow passes,流动通道的数量
LBL_NUMFLUIDS,Number of fluids,液体的数量
LBL_NUMHOLES,Number of holes,孔的数量
LBL_NUMLINE,Number of lines,行数
LBL_NUMNOZZ,Number of nozzles,喷嘴的数量
LBL_NUMOF,Number of,数目
LBL_NUMPARAVERTPASSLANES,Number of parallel/vertical passlanes,平行/垂直通道的数量
LBL_NUMPARTSEALROD,Number of partition seal rods,隔板密封杆的数量
LBL_NUMPASS,Number of passes,通行证的数量
LBL_NUMPASSHOTCOLD,"Number of passes, hot/cold",通过次数，热/冷
LBL_NUMPERPHORIPASSLANES,Number of perpendicular/horizontal passlanes,垂直/水平通道的数量
LBL_NUMPLATETOTEFF,"Number of plates, total/effective",板块数量，总的/有效的
LBL_NUMPLATETYPE,Number of plate types,板块类型的数量
LBL_NUMPROCFLUIDS,Number of process fluids,工艺流体的数量
LBL_NUMREQ,Number required,所需数量
LBL_NUMROWS,Number of rows,行数
LBL_NUMSEALSTRPAIR,Number of seal strip pairs,密封条对的数量
LBL_NUMSHELLINNOZ,Number of shellside inlet nozzles,壳侧入口喷嘴的数量
LBL_NUMSHELLOUTNOZ,Number of shellside outlet nozzles,壳侧出口喷嘴的数量
LBL_NUMSKIDBAR,Number of skid bars,防滑条的数量
LBL_NUMSPAN,Number of spans,跨度的数量
LBL_NUMSPTYPE,Number spaces of this type,这种类型的空间数量
LBL_NUMSTUDRINGS,Number of stud rings,螺柱环的数量
LBL_NUMSTUDSPERRING,Number of studs/ring,螺柱/环的数量
LBL_NUMTBRWCNV,Number of tubes per row (convection section),每行管子的数量（对流部分）
LBL_NUMTERM,Number of terminals,终端的数量
LBL_NUMTIEROD,Number of tie rods,拉杆的数量
LBL_NUMTUBEBUND,Number of tubes/bundle,管子的数量/捆绑
LBL_NUMTUBECAL,Number of tubes (calculated),管子的数量（计算）。
LBL_NUMTUBEINNOZ,Number of tubeside inlet nozzles,管侧进气嘴的数量
LBL_NUMTUBEOUTNOZ,Number of tubeside outlet nozzles,管侧出口喷嘴的数量
LBL_NUMTUBEPASSES,Number of tubepasses,管状物的数量
LBL_NUMTUBEROW,Number of tube rows,管子的行数
LBL_NUMTUBEROWS,Number of tuberows,块茎的数量
LBL_NUMTUBES,Number of tubes,管子的数量
LBL_NUMTUBESECT,Number of tube sections,管段数量
LBL_NUMTUBESPE,Number of tubes (specified),管子的数量（指定）
LBL_NUMTUBESPERPASS,Number of tubes per pass,每个通道的管子数量
LBL_NUMUBENDSUPP,Number U-Bend supports,U型弯管的数量
LBL_NUMUNITSERIPARA,"Number of units, series/parallel",单位数量，串联/并联
LBL_O2ANAL,O2 analyzer,O2分析器
LBL_OBSERVATION,Observation,观察
LBL_OD,OD,椁室
LBL_ODSURFACE,OD surface,外径表面
LBL_OFINCRS,of  Incr.,的印记。
LBL_ONSTREAM,On Stream,在流媒体上
LBL_ONSTRMTIME,On stream time,流动时间
LBL_ONSTRMTIMEPERIOD,On stream time per period,每一时期的流动时间
LBL_OPERATING,Operating,运作
LBL_OPERCASE,Operating Case,操作案例
LBL_OPERDATA,Operating data,操作数据
LBL_OPTIONALDATA,Optional Data,可选数据
LBL_OPTIONALGEOMDATA,Optional Geometry Data,可选的几何数据
LBL_ORDCOMP,Order of computation,计算的顺序
LBL_ORIEN,Orientation,适应情况
LBL_ORIENHORIZ,Orientation (from horiz.),方向（从水平方向）。
LBL_OTHER,Other,其他
LBL_OTHEROBST,Other obstruction,其他阻挠
LBL_OTHERTYPE,Other type,其他类型
LBL_OUT,Out,淘汰
LBL_OUTERTUBELIM,Outer tube limit,外管限制
LBL_OUTIN,out/in,出/进
LBL_OUTLET,Outlet,销路
LBL_OUTLETCOND,Outlet conditions,出口条件
LBL_OUTLETDISTR,Outlet distributor,出口分销商
LBL_OUTLETHEI,Outlet height,出口高度
LBL_OUTLETID,Outlet inside diameter,出口内径
LBL_OUTLETMAT,Outlet: material,出口：材料
LBL_OUTLETNOZZLE,outlet nozzle,出口喷嘴
LBL_OUTLETPIPE,Outlet Piping,出口管道
LBL_OUTLETPRESS,Outlet pressure,出口压力
LBL_OUTLETSPACING,Outlet spacing,距出口
LBL_OUTLETTCOLD,"Outlet T, Cold",出口T，冷
LBL_OUTLETTHOT,"Outlet T, Hot",出口T，热
LBL_OUTLETTSHELL,"Outlet T, Shell",出口T，外壳
LBL_OUTLETTTUBE,"Outlet T, Tube",出口T，管子
LBL_OUTLETVAPFRAC,Outlet vapor fraction,出口蒸气分量
LBL_OUTLETWTFRACVAPOR,Outlet weight fraction vapor,出口重量分数的蒸气
LBL_OUTLETYCOLD,"Outlet Y, Cold",出口Y，冷
LBL_OUTLETYHOT,"Outlet Y, Hot",出口Y，热
LBL_OUTLETYSHELL,"Outlet Y, Shell",出口Y，外壳
LBL_OUTLETYTUBE,"Outlet Y, Tube",出口Y，管子
LBL_OUTOFPLANE,Out-of-Pln,预算外的Pln
LBL_OUTPUTSUM,Output Summary,输出摘要
LBL_OUTSIDE,Outside,外围
LBL_OUTSIDEDIA,Outside diameter,外径
LBL_OUTSIDEFILMCOEF,Outside film coef,外膜系数
LBL_OUTSIDEFILMCOEF2,Outside film coefficient,外膜系数
LBL_OUTSIDEH,Outside h,外界h
LBL_OUTSIDEINCRMON,Outside Incremental Monitor,外部增量监测器
LBL_OUTSIDEMET,Outside metal,外部金属
LBL_OUTSIDEPROCCOND,Outside Process Conditions,外部工艺条件
LBL_OUTSLOTAREA,Outlet slot area,出口槽面积
LBL_OUTTUBEDIA,Outside tube diameter,外管直径
LBL_OVER,Over,逾越
LBL_OVERALLAVGFLUX,Overall average heat flux,总体平均热通量
LBL_OVERALLCOEFDCA,"Overall coef, Design/Clean/Actual",总传热系数，设计/清洁/实际
LBL_OVERALLCOEFRCA,"Overall coef., Reqd/Clean/Actual",总传热系数，要求/清洁/实际
LBL_OVERALLEXCHPERF,Overall Exchanger Performance,整体交换器性能
LBL_OVERALLLEN,Overall length,总长度
LBL_OVERALLMAXFLUX,Overall maximum heat flux,整体最大热通量
LBL_OVERALLPERF,Overall Performance Data,性能数据
LBL_OVERALLPERF2,Overall Performance,性能
LBL_OVERALLREY,Overall Reynolds,整体雷诺兹
LBL_OVERALLTUBELEN,Overall tube length,管子总长度
LBL_OVERALLU,Overall U,整体U
LBL_OVERALLUO,Overall Uo,总体而言，Uo
LBL_OVERALLWALLCORR,Overall wall correction,整体墙体校正
LBL_OVERALLWALLCORRFACT,Overall wall correction factor,整体墙体校正系数
LBL_OVERDES,Over Des,逾限
LBL_OVERDESIGN,Overdesign,过度设计
LBL_OVERDESIGN2,Over design,过度设计
LBL_OVERDESIGN3,Over Design,过度设计
LBL_OVERFIN,Over fin,过翅
LBL_OVERFINDIA,Over fin diameter,超过翅片直径
LBL_OXIDANT,Oxidant,氧化剂
LBL_OXIDRATE,Oxidant rate,氧化剂率
LBL_OXTHRTVEL,Oxidant throat velocity,氧化剂喉部速度
LBL_PAD3HEADER,Pad 3 - Header,焊盘3--焊头
LBL_PACKCONF,Pack Configuration,包装配置
LBL_PAIRSEALSTR,Pairs seal strips,密封条（对）
LBL_PARAFLOWAMP,Parallel flow amplitude,平行流的振幅
LBL_PARALLEL,Parallel,并联
LBL_PARAPASSWID,Parallel passlane width,平行通道的宽度
LBL_PARAVERTPASSLANEWID,Parallel/vertical passlane width,平行/垂直通道的宽度
LBL_PARTICULATES,Particulates,颗粒物
LBL_PASS,Pass,通过
LBL_PASSAGEDIA,Passage diameter,通道直径
LBL_PASSARRDIAGRAM,Pass Arrangement Diagram,通道安排图
LBL_PASSNUM,Pass number,通行证号码
LBL_PASSSEQ,Pass sequence,通行证序列
LBL_PASSSHELL,Passes Shell,程数，壳
LBL_PASTDAMAGE,Past Damage Evaluation,过去的损害评估
LBL_PASTHISTORY,Past history,过去的历史
LBL_PCT,%,%
LBL_PCTAREA,Pct Area,面积%
LBL_PCTCOC,%CO/C,%CO/C
LBL_PCTDIA,Pct Dia.,Pct Dia.
LBL_PCTDUTY,% of Duty,职责的百分比
LBL_PCTEXCESS,% Excess,超额百分比
LBL_PCTHHV,% HHV,HHV百分比
LBL_PCTLHV,% LHV,LHV百分比
LBL_PCTO2DRY,% O2 dry,干燥的O2百分比
LBL_PCTO2WET,% O2 wet,湿的O2百分比
LBL_PCTQAVAIL,% QAvail,% QAvail
LBL_PCTRH,% RH,%RH
LBL_PCTTUBEREMOVED,Pct tubes removed,移除换热管的占比
LBL_PERCBLOCK,"Percent blockage, other obstruction",堵塞的百分比，其他障碍物
LBL_PERCENT,Percent,百分比
LBL_PERCENTGS,Percent into gas space,进入气体空间的百分比
LBL_PERCENTSHELLID,% shell ID,%的外壳ID
LBL_PERCENTTOTAL,% of total,占总数的百分比
LBL_PERCFLUIDLEAKPASTSEAL,Percent fluid leakage past seal,漏过密封圈的液体百分比
LBL_PERCINLETFLOW,Percent of inlet flow,进水流量的百分比
LBL_PERCOPENAREA,Percent open area,开放面积百分比
LBL_PERCWELDRADIO,Percent of weld fully radiographed,完全辐射的焊缝的百分比
LBL_PERFORMANCE,Performance,业绩
LBL_PERFTESTREQ,Performance test required (yes or no),需要进行性能测试（是或否）。
LBL_PERIOD,Period,期间
LBL_PERIODS,Periods,期限
LBL_PERPENDICULAR,Perpendicular,垂直度
LBL_PERPERIOD,Per Period,每期
LBL_PERPHORIPASSLANEWID,Perpendicular/horizontal passlane width,垂直/水平通道的宽度
LBL_PERPPASSWID,Perpendicular passlane width,垂直通道的宽度
LBL_PH,pH,pH值
LBL_PHYPROPPROF,Physical Properties Profile,物理特性简介
LBL_PHYSICALPROPERTYDATA,Physical Property Data,物理属性数据
LBL_PILOTS,Pilots,飞行员
LBL_PILOTTYPE,"Pilot, type",飞行员，类型
LBL_PIPELEN,Pipe length,管道长度
LBL_PIPEMAT,Pipe material,管道材料
LBL_PIPERVSQ,Pipe R-V-SQ,管道R-V-SQ
LBL_PIPESCH,Piping schedule,配管时间表
LBL_PIPESIZESCHTHK,Pipe size / schedule or thickness,管道尺寸/规格或厚度
LBL_PIPINGINLETDATA,Piping Inlet Data,管道入口数据
LBL_PIPINGOUTLETDATA,Piping Outlet Data,管道出口数据
LBL_PITCH,Pitch,管心距
LBL_PITCHRAT,Pitch ratio,螺距比
LBL_PITCHTRANSLONG,Pitch Trans/Long,俯仰转换/长
LBL_PLAIN,Plain,平凡的
LBL_PLATE,Plate,碟子
LBL_PLATECHANNEL,Plate Channel,板块渠道
LBL_PLATECOMBO,Plate Combinations,板块组合
LBL_PLATEDATA,Plate Data,板块数据
LBL_PLATEFJCURVEDATA,Plate FJ-Curve Data,板块FJ-曲线数据
LBL_PLATEGEO,Plate Geometry,板块的几何形状
LBL_PLATEID,Plate ID,板块标识
LBL_PLATEMAT,Plate material,板材材料
LBL_PLATEMON,Plate Monitor,板块监控
LBL_PLATENUM,Plate Number,车牌号
LBL_PLATES,Plates,板块
LBL_PLATETHICK,Plate thickness,板材厚度
LBL_PLATETYPE,Plate type,板块类型
LBL_PLATETYPE1,Plate Type 1,板块类型1
LBL_PLATETYPE1GEO,Plate Type 1 Geometry,板块类型1的几何形状
LBL_PLATETYPE2,Plate Type 2,板块类型2
LBL_PLATETYPE2GEO,Plate Type 2 Geometry,板块类型2的几何形状
LBL_PLATETYPEGEO,Plate Type Geometry,板块类型的几何形状
LBL_PLATFORMS,Platforms,平台
LBL_PLENUMCHAMB,Plenum chamber (Air),全流室（空气）
LBL_PLENUMTYPE,Plenum type,全罩式
